date,delay_list,new_cases
2020-02-01,[14.0],1.0
2020-02-04,[8.0],1.0
2020-02-10,"[12.0, 16.0, 9.0]",1.0
2020-02-13,"[15.0, 15.0]",0.0
2020-02-14,"[23.0, 21.0]",0.0
2020-02-15,"[17.0, 8.0, 5.0, 16.0]",0.0
2020-02-17,[14.0],0.0
2020-02-18,"[12.0, 12.0, 19.0, 12.0, 13.0]",2.0
2020-02-20,"[11.0, 12.0, 10.0, 7.0, 13.0]",16.0
2020-02-21,"[19.0, 14.0, 14.0, 20.0, 4.0, 16.0, 20.0]",74.0
2020-02-22,"[7.0, 11.0, 8.0, 11.0, 11.0, 12.0, 7.0, 15.0, 10.0, 11.0, 23.0]",190.0
2020-02-23,"[8.0, 7.0, 7.0, 15.0, 8.0, 12.0]",210.0
2020-02-24,"[10.0, 5.0, 8.0, 13.0]",207.0
2020-02-25,"[7.0, 1.0, 13.0, 11.0, 11.0, 14.0, 18.0, 10.0, 10.0]",130.0
2020-02-26,"[11.0, 16.0, 15.0, 13.0, 8.0, 9.0, 18.0]",253.0
2020-02-27,"[9.0, 10.0, 8.0, 9.0, 9.0, 8.0, 15.0, 7.0]",449.0
2020-02-28,"[16.0, 9.0, 10.0, 10.0, 12.0, 11.0, 21.0]",427.0
2020-02-29,"[11.0, 9.0, 12.0, 8.0, 9.0, 16.0]",909.0
2020-03-01,"[15.0, 8.0, 8.0, 11.0, 24.0, 24.0]",595.0
2020-03-02,"[13.0, 20.0, 18.0, 1.0]",686.0
2020-03-03,"[11.0, 12.0, 22.0, 25.0]",600.0
2020-03-04,"[20.0, 6.0, 18.0]",516.0
2020-03-05,"[11.0, 13.0, 11.0]",438.0
2020-03-06,"[11.0, 21.0, 8.0]",518.0
2020-03-07,[25.0],483.0
2020-03-08,"[8.0, 24.0, 13.0]",367.0
2020-03-09,"[10.0, 21.0]",248.0
2020-03-10,[7.0],131.0
2020-03-13,"[25.0, 17.0, 10.0]",110.0
2020-03-14,"[10.0, 7.0]",107.0
2020-03-16,[8.0],74.0
2020-03-18,"[12.0, 14.0]",93.0
2020-03-19,"[11.0, 11.0, 15.0]",152.0
2020-03-20,"[15.0, 15.0]",87.0
2020-03-21,"[14.0, 25.0]",147.0
2020-03-22,[14.0],98.0
2020-03-23,"[15.0, 14.0, 19.0]",64.0
2020-03-25,[19.0],100.0
2020-03-26,[15.0],104.0
2020-03-28,[14.0],146.0
2020-03-30,[8.0],78.0
2020-03-31,[16.0],125.0
2020-04-01,"[13.0, 8.0]",101.0
2020-04-03,[18.0],86.0
2020-04-04,"[15.0, 13.0]",94.0
2020-04-05,"[10.0, 18.0, 18.0, 12.0]",81.0
2020-04-06,"[14.0, 20.0, 11.0]",47.0
2020-04-07,[17.0],47.0
2020-04-08,[18.0],53.0
2020-04-11,"[12.0, 14.0]",30.0
2020-04-12,[13.0],32.0
2020-04-13,[13.0],25.0
2020-04-29,[5.0],9.0
2020-05-07,"[8.0, 8.0, 9.0, 9.0, 9.0]",4.0
2020-05-08,[7.0],12.0
2020-05-09,"[8.0, 9.0, 9.0, 16.0, 18.0]",18.0
2020-05-10,"[10.0, 9.0, 8.0, 7.0, 12.0, 16.0, 16.0, 8.0]",34.0
2020-05-11,"[16.0, 18.0, 9.0]",35.0
2020-05-12,"[12.0, 9.0, 8.0, 13.0]",27.0
2020-05-13,"[7.0, 17.0]",26.0
2020-05-14,"[14.0, 8.0, 15.0]",29.0
2020-05-15,"[7.0, 14.0, 16.0, 17.0]",27.0
2020-05-16,"[16.0, 7.0, 16.0, 19.0]",19.0
2020-05-17,"[10.0, 16.0, 10.0, 15.0]",13.0
2020-05-18,"[14.0, 18.0, 11.0]",15.0
2020-05-19,"[16.0, 9.0]",13.0
2020-05-20,"[6.0, 18.0, 9.0]",32.0
2020-05-21,"[13.0, 9.0]",12.0
2020-05-22,"[17.0, 10.0, 12.0, 12.0, 17.0]",20.0
2020-05-23,"[12.0, 10.0, 13.0, 13.0, 12.0]",23.0
2020-05-24,[19.0],25.0
2020-05-25,[10.0],16.0
2020-05-26,[6.0],19.0
2020-05-27,"[19.0, 5.0, 17.0, 11.0, 9.0]",40.0
2020-05-28,"[6.0, 18.0]",79.0
