date,M_t,D_t,H_t,new_cases,infectiousness,delay_list
2020-02-16,43.330994783119394,0.0,1.1662657545660773,0.0,0.0,0
2020-02-17,43.844625158676166,0.0,1.1668247353529468,0.0,0.0,[12.0]
2020-02-18,44.17427242522514,0.0,1.1680963315118449,2.0,0.0,"[8.0, 8.0, 14.0, 14.0, 16.0]"
2020-02-19,44.28327909147887,0.0,1.170058611624773,0.0,0.0,0
2020-02-20,44.22377369840294,0.0,1.1724832750793648,16.0,0.0,"[11.0, 10.0, 12.0, 13.0, 23.0]"
2020-02-21,44.10678894067264,0.0,1.1750432414785228,74.0,0.0,"[18.0, 12.0, 8.0, 12.0, 10.0, 13.0, 17.0]"
2020-02-22,44.03740554664259,0.0,1.1774912559521902,190.0,0.0,"[5.0, 9.0, 8.0, 8.0, 11.0, 10.0, 14.0, 12.0, 15.0, 14.0, 21.0]"
2020-02-23,44.05576755997023,0.0,1.179819125946042,210.0,0.0,"[8.0, 7.0, 8.0, 10.0, 8.0, 11.0]"
2020-02-24,44.122993604145165,0.0,1.182288742391177,207.0,0.0,"[5.0, 7.0, 7.0]"
2020-02-25,44.15925958932482,0.0,1.1852822909506298,130.0,0.0,"[6.0, 5.0, 7.0, 8.0, 8.0, 11.0, 11.0, 12.0]"
2020-02-26,44.1093366107722,0.0,1.189032275649611,253.0,0.0,"[6.0, 5.0, 7.0, 7.0, 9.0, 9.0, 11.0]"
2020-02-27,43.98878737581715,0.0,1.1933762954117977,449.0,0.0,"[4.0, 5.0, 5.0, 5.0, 7.0, 7.0, 7.0, 10.0, 9.0]"
2020-02-28,43.8764481560759,0.0,1.1977012479685916,427.0,0.0,"[9.0, 4.0, 5.0, 8.0, 10.0, 11.0, 16.0]"
2020-02-29,43.86029261338194,0.0,1.2011699457839935,909.0,0.0,"[4.0, 5.0, 5.0, 4.0, 7.0, 8.0, 5.0]"
2020-03-01,43.97646936285662,0.0,1.2031327461588854,595.0,0.0,"[10.0, 8.0, 8.0, 7.0, 14.0, 14.0]"
2020-03-02,44.18570073396708,0.0,1.2034756457924392,686.0,0.0,"[5.0, 7.0, 11.0, 5.0]"
2020-03-03,44.40358464878927,0.7501432585697689,1.2026588546896602,600.0,505.0405030481272,"[7.0, 6.0, 10.0, 15.0]"
2020-03-04,44.56305541621874,0.7501432585697689,1.2014103433400083,516.0,583.4373643472619,"[6.0, 10.0, 11.0]"
