date,household_counts,nonhousehold_counts,new_cases
2020-02-04,1,,1.0
2020-02-08,1,,0.0
2020-02-19,1,1.0,34.0
2020-02-20,2,1.0,16.0
2020-02-21,4,1.0,74.0
2020-02-22,5,,190.0
2020-02-23,5,,210.0
2020-02-24,6,2.0,207.0
2020-02-25,2,3.0,130.0
2020-02-26,5,4.0,253.0
2020-02-27,6,5.0,449.0
2020-02-28,5,5.0,427.0
2020-02-29,5,1.0,909.0
2020-03-01,6,1.0,595.0
2020-03-02,14,4.0,686.0
2020-03-03,12,6.0,600.0
2020-03-04,8,5.0,516.0
2020-03-05,10,2.0,438.0
2020-03-06,3,3.0,518.0
2020-03-07,7,4.0,483.0
2020-03-08,4,2.0,367.0
2020-03-09,1,,248.0
2020-03-10,3,2.0,131.0
2020-03-11,3,2.0,242.0
2020-03-12,4,,114.0
2020-03-13,6,4.0,110.0
2020-03-14,1,,107.0
2020-03-15,1,,76.0
2020-03-16,5,,74.0
2020-03-17,3,,84.0
2020-03-18,2,1.0,93.0
2020-03-19,5,2.0,152.0
2020-03-20,3,1.0,87.0
2020-03-22,1,,98.0
2020-03-23,2,2.0,64.0
2020-03-24,8,2.0,76.0
2020-03-25,4,2.0,100.0
2020-03-26,6,5.0,104.0
2020-03-27,2,2.0,91.0
2020-03-28,7,,146.0
2020-03-29,3,1.0,105.0
2020-03-30,1,2.0,78.0
2020-03-31,2,3.0,125.0
2020-04-01,5,3.0,101.0
2020-04-02,4,4.0,89.0
2020-04-03,2,3.0,86.0
2020-04-04,2,1.0,94.0
2020-04-05,2,3.0,81.0
2020-04-06,5,2.0,47.0
2020-04-07,3,3.0,47.0
2020-04-08,3,1.0,53.0
2020-04-09,3,1.0,39.0
2020-04-12,1,2.0,32.0
2020-04-13,1,2.0,25.0
2020-04-14,1,2.0,27.0
2020-04-19,1,1.0,8.0
2020-04-22,2,,11.0
2020-04-23,2,,8.0
2020-05-08,1,3.0,12.0
2020-05-12,1,10.0,27.0
2020-05-13,1,9.0,26.0
2020-05-14,2,7.0,29.0
2020-05-17,1,2.0,13.0
2020-05-18,1,7.0,15.0
2020-05-20,4,3.0,32.0
2020-05-22,2,6.0,20.0
2020-05-24,2,1.0,25.0
2020-05-25,1,1.0,16.0
2020-05-26,6,6.0,19.0
2020-05-27,6,2.0,40.0
2020-05-28,7,8.0,79.0
2020-05-29,1,6.0,58.0
2020-05-30,3,4.0,39.0
2020-05-31,5,20.0,27.0
2020-06-01,4,8.0,35.0
2020-06-02,2,6.0,38.0
2020-06-03,5,7.0,49.0
2020-06-04,3,11.0,39.0
2020-06-05,5,10.0,39.0
2020-06-06,3,6.0,51.0
2020-06-07,3,6.0,57.0
2020-06-08,3,12.0,37.0
2020-06-09,2,3.0,38.0
2020-06-10,2,11.0,50.0
2020-06-11,7,5.0,45.0
2020-06-12,1,9.0,56.0
2020-06-13,2,1.0,48.0
2020-06-14,2,1.0,34.0
2020-06-15,6,8.0,37.0
2020-06-16,8,11.0,34.0
2020-06-17,2,11.0,43.0
2020-06-18,3,9.0,59.0
2020-06-19,5,12.0,49.0
2020-06-20,4,5.0,67.0
2020-06-22,1,,17.0
2020-06-23,1,1.0,46.0
2020-06-26,2,,39.0
2020-06-27,3,1.0,51.0
2020-06-29,2,1.0,42.0
2020-07-02,3,1.0,54.0
2020-07-06,1,,48.0
2020-07-11,2,1.0,35.0
